0,1,2,3,4,RF_label
2.0,1.4071213547109511,81.0,76.0,4.69,0.0
2.0,0.581396366871573,100.0,98.0,4.74,1.0
2.0,0.1442478438977847,95.0,81.0,4.68,1.0
1.0,1.9281599687186937,107.0,143.0,18.95,0.0
2.0,1.2805325272760444,101.0,106.0,8.42,0.0
2.0,1.2775958664224214,106.0,100.0,15.44,0.0
2.0,0.4680615646191095,142.0,215.0,3.62,1.0
1.0,1.377676643492442,111.0,101.0,9.47,0.0
2.0,2.5272153520531453,125.0,147.0,29.61,0.0
2.0,0.5490149947994407,98.0,100.0,3.62,1.0
2.0,0.1118664718256523,107.0,103.0,11.09,0.0
1.0,0.1118664718256523,94.0,110.0,7.34,1.0
2.0,0.5166336227273083,109.0,97.0,6.01,0.0
1.0,0.4548075394366659,103.0,92.0,8.07,0.0
2.0,3.2557962236761258,91.0,93.0,11.98,0.0
2.0,1.1510070389875149,97.0,178.0,12.25,0.0
2.0,0.6623497970519042,106.0,103.0,9.11,1.0
2.0,2.2034016313318205,95.0,64.0,15.79,0.0
2.0,0.451870878583043,97.0,68.0,6.55,0.0
2.0,0.0338497024989441,84.0,106.0,3.27,0.0
1.0,0.5166336227273083,99.0,119.0,6.0,0.0
2.0,1.6043462479973691,90.0,81.0,6.23,0.0
2.0,0.451870878583043,97.0,108.0,6.41,1.0
2.0,0.0338497024989441,92.0,85.0,9.89,0.0
2.0,1.458630073672773,98.0,92.0,16.55,0.0
2.0,0.6652864579055272,119.0,201.0,16.36,1.0
2.0,0.6623497970519042,90.0,134.0,12.39,0.0
2.0,0.0309130416453211,83.0,98.0,5.15,1.0
2.0,2.0385581101175343,85.0,91.0,10.86,0.0
2.0,0.3900447952924012,96.0,67.0,6.54,0.0
2.0,0.9375914596650302,96.0,103.0,11.86,0.0
2.0,1.4748207597088396,103.0,152.0,11.3,1.0
1.0,3.5796099443974505,97.0,120.0,9.84,0.0
2.0,0.5681423416891301,104.0,71.0,16.22,0.0
2.0,1.1966424362420902,106.0,94.0,11.0,0.0
2.0,0.7300492020497925,111.0,193.0,9.61,1.0
2.0,1.1804517502060237,86.0,117.0,6.26,0.0
2.0,0.986163517773229,105.0,131.0,7.61,0.0
2.0,1.6661723312880108,96.0,86.0,6.26,0.0
2.0,0.17956587682354,92.0,96.0,15.54,0.0
2.0,0.0338497024989441,92.0,83.0,7.94,0.0
2.0,0.5357609696169972,109.0,124.0,8.83,1.0
2.0,1.4556934128191497,93.0,104.0,6.81,0.0
2.0,0.2929006790760036,123.0,77.0,17.46,0.0
2.0,1.1804517502060237,91.0,96.0,12.66,0.0
2.0,2.0576854570072234,103.0,62.0,20.82,0.0
2.0,3.336749653856457,99.0,178.0,16.72,0.0
2.0,0.7109218551601031,91.0,130.0,11.56,0.0
2.0,0.9699728317371624,100.0,83.0,12.22,0.0
2.0,0.8080659713765002,72.0,65.0,3.28,0.0
2.0,1.1024349808793157,101.0,151.0,6.49,1.0
2.0,0.856638029484699,89.0,138.0,3.0,1.0
2.0,0.4356801925469771,97.0,110.0,4.29,1.0
2.0,1.6205369340334357,105.0,137.0,17.35,0.0
2.0,1.3261679245306202,87.0,77.0,8.34,0.0
2.0,1.0023542038092954,87.0,44.0,3.77,0.0
1.0,0.1957565628596065,98.0,119.0,14.84,0.0
2.0,2.5272153520531453,106.0,99.0,28.69,0.0
2.0,3.3529403398925224,105.0,120.0,16.61,0.0
2.0,0.9375914596650302,95.0,81.0,2.71,0.0
2.0,0.1309938187153412,85.0,141.0,6.43,1.0
2.0,0.8595746903383219,96.0,94.0,9.35,0.0
2.0,1.1966424362420902,96.0,139.0,5.36,1.0
2.0,1.3261679245306202,109.0,132.0,7.67,1.0
2.0,1.1966424362420902,99.0,130.0,2.28,1.0
2.0,2.5919780961974097,125.0,185.0,38.43,1.0
2.0,0.9891001786268524,102.0,83.0,20.51,0.0
1.0,0.2281379349317388,110.0,87.0,12.94,0.0
2.0,0.8728287155207655,111.0,119.0,7.83,1.0
2.0,1.8472065385383627,96.0,108.0,11.06,0.0
2.0,3.482465828181053,90.0,131.0,17.08,0.0
2.0,0.2443286209678053,81.0,67.0,7.78,0.0
2.0,0.2090105880420494,110.0,126.0,15.17,1.0
2.0,0.0176590164628776,93.0,132.0,5.68,0.0
1.0,0.1280571578617182,104.0,124.0,21.27,1.0
1.0,0.1633751907874741,97.0,97.0,6.17,0.0
2.0,0.30909136511207,104.0,99.0,2.9,1.0
2.0,1.811888505612607,98.0,148.0,10.85,0.0
2.0,0.1118664718256523,98.0,150.0,15.27,1.0
1.0,2.6081687822334763,99.0,93.0,21.05,0.0
2.0,0.3385360763305794,80.0,63.0,4.88,0.0
2.0,1.5719648759252365,97.0,69.0,6.03,0.0
2.0,1.3938673295285084,117.0,147.0,20.85,1.0
2.0,1.0023542038092954,91.0,121.0,2.06,0.0
1.0,0.322345390294513,99.0,86.0,6.34,0.0
2.0,0.2281379349317388,92.0,89.0,4.39,0.0
2.0,1.1966424362420902,101.0,148.0,7.5,0.0
2.0,0.5004429366912418,91.0,92.0,13.45,0.0
2.0,0.0824217606071429,84.0,74.0,9.19,0.0
2.0,0.1471845047514076,88.0,95.0,7.02,0.0
1.0,0.4709982254727324,114.0,112.0,20.18,0.0
2.0,1.118625666915382,102.0,58.0,31.99,0.0
2.0,2.624359468269541,110.0,121.0,18.35,0.0
1.0,0.1148031326792753,104.0,119.0,7.14,0.0
2.0,0.8919560624104549,92.0,116.0,17.93,0.0
2.0,0.8890194015568313,100.0,67.0,6.77,1.0
2.0,1.3747399826388185,101.0,76.0,8.74,0.0
2.0,0.5357609696169972,124.0,161.0,10.05,1.0
2.0,0.2090105880420494,101.0,101.0,17.6,0.0
1.0,0.8757653763743883,94.0,132.0,13.34,0.0
2.0,0.713858516013726,79.0,81.0,5.32,0.0
1.0,1.0185448898453613,84.0,87.0,2.11,0.0
2.0,0.8890194015568313,94.0,68.0,6.46,0.0
2.0,0.9567188065547196,86.0,109.0,11.49,0.0
1.0,0.0632944137174535,99.0,90.0,8.82,0.0
2.0,0.5975870529076395,97.0,92.0,11.7,0.0
2.0,0.0309130416453211,81.0,79.0,6.35,0.0
2.0,0.5166336227273083,107.0,161.0,4.21,1.0
2.0,2.090066829079356,95.0,140.0,21.0,0.0
1.0,0.047103727681387,87.0,105.0,3.87,0.0
2.0,0.5004429366912418,122.0,80.0,7.74,1.0
2.0,0.3414727371842024,85.0,92.0,7.12,0.0
2.0,0.2443286209678053,95.0,110.0,14.92,0.0
2.0,0.047103727681387,87.0,87.0,4.87,0.0
2.0,0.9214007736289644,95.0,111.0,15.56,0.0
2.0,0.3576634232202689,105.0,131.0,10.76,1.0
1.0,0.1633751907874741,108.0,117.0,13.23,0.0
2.0,0.6652864579055272,91.0,89.0,5.58,0.0
2.0,1.0052908646629175,127.0,75.0,30.52,0.0
1.0,1.1510070389875149,98.0,124.0,13.68,0.0
2.0,0.5681423416891301,86.0,107.0,17.03,0.0
2.0,1.0994983200256925,98.0,107.0,13.38,0.0
2.0,1.4556934128191497,81.0,111.0,0.14,0.0
2.0,0.0176590164628776,99.0,138.0,30.85,0.0
2.0,0.4680615646191095,96.0,135.0,5.94,1.0
2.0,0.7918752853404343,85.0,72.0,4.93,1.0
1.0,0.713858516013726,104.0,100.0,7.6,0.0
2.0,0.0824217606071429,102.0,91.0,10.97,0.0
2.0,1.0671169479535605,97.0,86.0,3.94,0.0
2.0,1.84426987768474,91.0,94.0,5.01,0.0
2.0,1.086244294843249,101.0,164.0,9.04,0.0
2.0,1.0214815506989845,100.0,106.0,13.32,0.0
2.0,0.7918752853404343,97.0,89.0,7.71,0.0
1.0,0.4032988204748442,103.0,113.0,8.55,0.0
2.0,1.0671169479535605,100.0,100.0,13.18,0.0
1.0,0.9243374344825868,98.0,114.0,16.59,0.0
2.0,0.0147223556092547,90.0,110.0,2.91,0.0
2.0,0.972909492590786,92.0,123.0,7.64,0.0
2.0,0.713858516013726,116.0,169.0,10.86,1.0
2.0,1.2157697831317795,83.0,102.0,15.11,0.0
2.0,1.0994983200256925,106.0,129.0,8.91,0.0
2.0,1.231960469167846,112.0,82.0,12.08,0.0
2.0,0.3061547042584471,107.0,128.0,10.08,0.0
1.0,1.4395027267830838,93.0,96.0,10.2,0.0
1.0,1.895778596646561,109.0,126.0,13.42,0.0
2.0,1.1480703781338917,115.0,140.0,14.41,0.0
2.0,0.0662310745710764,94.0,100.0,14.67,0.0
2.0,0.0794850997535194,97.0,89.0,12.09,0.0
2.0,0.0986124466432088,90.0,103.0,9.92,0.0
2.0,0.4386168534006001,103.0,139.0,26.73,0.0
1.0,0.4548075394366659,92.0,99.0,5.79,0.0
2.0,0.5195702835809313,94.0,101.0,12.51,0.0
2.0,0.5652056808355066,85.0,81.0,11.61,0.0
2.0,0.8110026322301237,107.0,78.0,19.46,0.0
1.0,1.4262487016006402,103.0,136.0,8.97,0.0
2.0,0.2413919601141818,107.0,163.0,19.0,1.0
2.0,0.2443286209678053,92.0,121.0,14.98,1.0
2.0,0.4194895065109106,101.0,60.0,8.17,0.0
2.0,0.7624305741219248,100.0,93.0,12.38,0.0
1.0,1.911969282682628,105.0,116.0,20.8,0.0
2.0,0.4032988204748442,90.0,82.0,22.26,0.0
1.0,1.4880747848912823,95.0,65.0,1.88,0.0
2.0,0.1633751907874741,93.0,120.0,7.45,1.0
1.0,1.2967232133121107,113.0,101.0,9.43,0.0
2.0,2.446261921872814,101.0,97.0,15.08,0.0
2.0,0.5519516556530636,84.0,132.0,4.16,1.0
2.0,0.047103727681387,106.0,219.0,8.04,0.0
2.0,0.0014683304268117,95.0,142.0,12.36,0.0
2.0,0.5357609696169972,75.0,99.0,3.73,1.0
2.0,0.1442478438977847,96.0,77.0,6.61,0.0
2.0,0.05004038853501,90.0,85.0,3.62,0.0
1.0,1.0538629227711171,95.0,149.0,9.2,0.0
2.0,1.1804517502060237,101.0,102.0,19.38,0.0
2.0,0.2737733321863148,97.0,108.0,4.25,1.0
2.0,1.410058015564574,98.0,184.0,21.75,0.0
2.0,0.7918752853404343,95.0,89.0,5.04,0.0
2.0,1.5852189011076796,87.0,71.0,9.94,0.0
2.0,0.17956587682354,83.0,119.0,3.59,1.0
2.0,1.2775958664224214,99.0,84.0,18.94,0.0
1.0,0.1280571578617182,100.0,41.0,4.57,0.0
2.0,1.0347355758814278,104.0,97.0,4.89,0.0
2.0,1.636727620069502,94.0,96.0,18.93,0.0
2.0,1.2967232133121107,81.0,78.0,12.33,0.0
2.0,1.212833122278156,95.0,123.0,5.8,0.0
2.0,1.6205369340334357,101.0,154.0,14.59,1.0
2.0,0.0176590164628776,118.0,150.0,10.43,0.0
1.0,0.1604385299338506,91.0,77.0,4.66,0.0
1.0,0.6947311691240367,92.0,47.0,3.23,0.0
2.0,0.4680615646191095,87.0,112.0,16.17,0.0
2.0,1.5072021317809714,100.0,96.0,34.71,0.0
2.0,1.086244294843249,101.0,128.0,13.52,0.0
2.0,0.3738541092563348,92.0,131.0,11.26,1.0
2.0,0.0309130416453211,91.0,126.0,5.39,0.0
2.0,0.5195702835809313,100.0,134.0,24.64,0.0
2.0,0.0986124466432088,99.0,118.0,12.85,0.0
1.0,0.9405281205186532,94.0,64.0,19.04,0.0
2.0,0.5328243087633743,95.0,112.0,18.74,0.0
2.0,1.1671977250235803,108.0,126.0,14.08,0.0
2.0,0.5519516556530636,102.0,162.0,6.75,1.0
2.0,1.1671977250235803,103.0,84.0,6.33,0.0
2.0,1.636727620069502,92.0,93.0,20.2,0.0
2.0,0.0794850997535194,98.0,118.0,14.06,0.0
2.0,0.6137777389437055,103.0,86.0,9.53,0.0
2.0,1.5719648759252365,95.0,125.0,36.42,0.0
2.0,2.022367424081468,101.0,102.0,7.1,0.0
2.0,0.3709174484027118,91.0,116.0,4.25,1.0
2.0,1.458630073672773,102.0,127.0,18.45,0.0
2.0,0.05004038853501,99.0,93.0,10.46,1.0
1.0,0.05004038853501,95.0,118.0,15.96,0.0
2.0,0.3871081344387783,96.0,98.0,6.92,1.0
2.0,1.3261679245306202,93.0,78.0,2.65,0.0
2.0,1.0700536088071837,97.0,103.0,17.71,0.0
2.0,0.4356801925469771,95.0,100.0,5.64,1.0
2.0,0.2119472488956724,99.0,98.0,8.99,0.0
2.0,0.4680615646191095,105.0,67.0,12.01,1.0
1.0,0.0794850997535194,97.0,70.0,14.38,0.0
1.0,1.0700536088071837,96.0,46.0,14.13,0.0
1.0,1.2967232133121107,95.0,86.0,6.45,0.0
2.0,0.4709982254727324,94.0,91.0,7.57,0.0
2.0,0.9375914596650302,82.0,77.0,3.58,0.0
2.0,1.1480703781338917,91.0,82.0,5.6,0.0
2.0,0.6947311691240367,86.0,89.0,6.03,0.0
1.0,0.6490957718694613,98.0,60.0,14.52,0.0
2.0,0.5033795975448648,96.0,102.0,15.57,0.0
1.0,0.9375914596650302,100.0,90.0,22.95,0.0
2.0,0.17956587682354,98.0,132.0,10.69,1.0
2.0,1.2614051803863549,87.0,104.0,5.52,0.0
2.0,3.4338937700728533,135.0,190.0,12.61,1.0
2.0,1.0347355758814278,96.0,92.0,5.11,0.0
2.0,1.5366468429994808,111.0,151.0,5.57,1.0
2.0,1.6691089921416338,105.0,146.0,16.19,0.0
2.0,0.6652864579055272,96.0,152.0,21.63,0.0
2.0,0.9214007736289644,101.0,188.0,7.22,0.0
2.0,1.4424393876367068,102.0,79.0,15.09,0.0
1.0,0.2605193070038712,92.0,101.0,4.63,1.0
2.0,0.30909136511207,91.0,95.0,14.56,0.0
2.0,1.410058015564574,89.0,95.0,11.93,0.0
1.0,0.4386168534006001,115.0,86.0,8.4,0.0
2.0,0.5357609696169972,107.0,97.0,18.33,0.0
1.0,0.2443286209678053,91.0,109.0,5.27,0.0
2.0,0.4194895065109106,98.0,81.0,15.2,0.0
2.0,0.713858516013726,122.0,177.0,16.45,1.0
2.0,0.9052100875928978,94.0,97.0,4.44,0.0
2.0,1.1995790970957132,108.0,64.0,14.18,0.0
1.0,0.2090105880420494,109.0,112.0,5.5,1.0
2.0,0.4842522506551754,95.0,95.0,6.82,0.0
2.0,0.8890194015568313,98.0,68.0,2.97,0.0
2.0,0.4548075394366659,93.0,74.0,3.4,0.0
1.0,1.1671977250235803,88.0,96.0,7.27,0.0
1.0,0.7624305741219248,100.0,106.0,7.73,0.0
2.0,3.0129359331351324,87.0,110.0,23.35,0.0
2.0,0.9537821457010968,87.0,85.0,6.76,0.0
2.0,0.5490149947994407,81.0,100.0,15.95,0.0
2.0,1.7147443893962098,104.0,98.0,19.49,0.0
2.0,0.0662310745710764,99.0,119.0,4.47,1.0
2.0,0.0147223556092547,85.0,69.0,7.48,0.0
2.0,0.6947311691240367,97.0,99.0,3.44,0.0
2.0,0.7433032272322354,99.0,76.0,3.47,0.0
2.0,0.2737733321863148,87.0,108.0,4.36,1.0
2.0,0.0176590164628776,100.0,124.0,7.02,1.0
2.0,0.5490149947994407,94.0,99.0,5.61,1.0
1.0,1.0023542038092954,79.0,69.0,2.91,0.0
2.0,0.0176590164628776,112.0,68.0,11.9,0.0
2.0,1.0833076339896266,107.0,69.0,15.7,0.0
2.0,1.118625666915382,96.0,80.0,29.82,0.0
2.0,0.9537821457010968,105.0,111.0,13.87,0.0
2.0,0.9699728317371624,77.0,79.0,4.38,0.0
2.0,1.212833122278156,93.0,85.0,6.48,0.0
2.0,0.6490957718694613,103.0,126.0,35.09,0.0
2.0,0.6814771439415936,94.0,72.0,3.25,0.0
2.0,1.0347355758814278,90.0,135.0,3.64,0.0
2.0,1.3747399826388185,99.0,105.0,2.98,0.0
2.0,0.9243374344825868,93.0,160.0,14.12,0.0
2.0,0.2737733321863148,99.0,118.0,8.2,1.0
2.0,1.1966424362420902,103.0,131.0,5.07,1.0
2.0,0.0147223556092547,93.0,85.0,8.23,0.0
2.0,0.1280571578617182,100.0,141.0,15.26,1.0
2.0,0.7786212601579907,98.0,107.0,25.39,0.0
1.0,1.2614051803863549,102.0,135.0,4.76,1.0
2.0,0.8242566574125666,96.0,118.0,9.66,0.0
2.0,0.3252820511481365,93.0,126.0,9.4,0.0
2.0,1.118625666915382,102.0,91.0,10.67,0.0
2.0,0.0147223556092547,98.0,101.0,30.35,0.0
2.0,0.0309130416453211,99.0,180.0,25.45,0.0
1.0,1.6043462479973691,88.0,75.0,37.08,0.0
2.0,1.410058015564574,91.0,85.0,23.83,0.0
2.0,0.9375914596650302,94.0,91.0,9.6,0.0
2.0,0.0147223556092547,94.0,103.0,11.24,0.0
2.0,0.2605193070038712,87.0,88.0,2.19,0.0
2.0,0.1604385299338506,86.0,84.0,6.42,0.0
1.0,1.086244294843249,95.0,80.0,4.99,0.0
2.0,0.7918752853404343,108.0,76.0,6.34,0.0
2.0,0.7300492020497925,108.0,152.0,17.26,1.0
2.0,1.0833076339896266,99.0,104.0,4.48,0.0
1.0,0.451870878583043,99.0,147.0,5.45,0.0
2.0,0.7433032272322354,103.0,94.0,3.24,0.0
2.0,1.2481511552039115,104.0,93.0,12.52,0.0
2.0,0.5652056808355066,91.0,104.0,6.84,1.0
2.0,2.883410444846602,105.0,80.0,10.93,0.0
2.0,0.5490149947994407,83.0,81.0,10.42,0.0
2.0,0.8919560624104549,84.0,92.0,22.04,0.0
2.0,1.523392817817038,96.0,93.0,27.56,0.0
2.0,0.8728287155207655,91.0,78.0,7.2,0.0
2.0,2.268164375476085,96.0,93.0,17.4,0.0
2.0,1.811888505612607,98.0,109.0,17.13,0.0
2.0,0.8919560624104549,103.0,57.0,9.66,1.0
2.0,1.3291045853842427,77.0,76.0,9.46,0.0
2.0,0.2281379349317388,93.0,102.0,12.64,0.0
2.0,0.759493913268302,94.0,114.0,7.92,0.0
2.0,0.4356801925469771,120.0,182.0,9.87,1.0
1.0,1.212833122278156,98.0,99.0,4.28,0.0
2.0,1.0509262619174935,96.0,90.0,7.94,0.0
2.0,0.322345390294513,104.0,108.0,3.72,1.0
1.0,0.7300492020497925,83.0,132.0,18.12,1.0
1.0,0.0014683304268117,85.0,119.0,11.69,0.0
1.0,1.4556934128191497,100.0,99.0,8.36,0.0
2.0,1.879587910610496,93.0,96.0,28.64,0.0
1.0,1.649981645251945,101.0,111.0,5.94,0.0
2.0,0.2252012740781159,99.0,96.0,13.29,0.0
2.0,2.33292711962035,88.0,147.0,15.91,0.0
2.0,1.2614051803863549,90.0,64.0,3.24,0.0
2.0,0.2443286209678053,94.0,98.0,4.95,1.0
1.0,1.212833122278156,77.0,109.0,16.48,0.0
2.0,0.3738541092563348,102.0,132.0,11.76,1.0
1.0,1.2937865524584873,97.0,69.0,5.72,0.0
1.0,0.4194895065109106,99.0,108.0,5.75,0.0
2.0,0.1442478438977847,104.0,105.0,4.31,1.0
2.0,0.0309130416453211,102.0,91.0,12.13,0.0
2.0,2.413880549800681,100.0,142.0,38.02,0.0
2.0,0.6623497970519042,88.0,88.0,8.14,0.0
2.0,0.2605193070038712,84.0,99.0,13.69,0.0
2.0,1.131879692097825,103.0,76.0,7.8,0.0
2.0,0.5328243087633743,85.0,80.0,2.53,0.0
2.0,1.0833076339896266,95.0,152.0,9.26,0.0
2.0,0.6137777389437055,98.0,135.0,16.37,0.0
2.0,0.6814771439415936,99.0,110.0,20.14,0.0
1.0,1.3261679245306202,91.0,79.0,6.05,0.0
2.0,1.4071213547109511,89.0,92.0,6.4,0.0
2.0,0.8757653763743883,102.0,84.0,17.51,0.0
2.0,1.458630073672773,107.0,103.0,26.54,0.0
2.0,0.5033795975448648,123.0,207.0,19.78,1.0
1.0,0.0986124466432088,117.0,164.0,16.76,1.0
2.0,0.3385360763305794,99.0,134.0,6.89,1.0
2.0,1.0023542038092954,92.0,62.0,6.39,0.0
2.0,0.1118664718256523,80.0,60.0,4.58,0.0
2.0,0.6490957718694613,94.0,109.0,18.12,0.0
2.0,0.8890194015568313,86.0,126.0,1.02,1.0
1.0,0.9052100875928978,99.0,91.0,6.22,1.0
1.0,0.3900447952924012,103.0,127.0,7.64,0.0
2.0,0.3547267623666459,85.0,65.0,3.45,0.0
2.0,1.0994983200256925,92.0,119.0,14.31,1.0
1.0,1.115689006061759,107.0,76.0,5.33,0.0
2.0,0.986163517773229,82.0,60.0,1.54,0.0
2.0,0.05004038853501,106.0,155.0,17.44,1.0
2.0,0.17956587682354,89.0,72.0,7.11,0.0
2.0,0.2575826461502483,93.0,73.0,14.56,0.0
1.0,1.5557741898891708,92.0,103.0,30.18,0.0
2.0,1.5852189011076796,107.0,76.0,22.24,0.0
2.0,0.2899640182223806,96.0,123.0,4.65,1.0
2.0,1.7176810502498332,131.0,156.0,21.78,0.0
2.0,0.17956587682354,90.0,119.0,20.03,0.0
2.0,0.0309130416453211,94.0,83.0,5.27,0.0
2.0,0.2281379349317388,115.0,125.0,5.82,1.0
2.0,1.2775958664224214,86.0,83.0,8.68,0.0
2.0,1.2157697831317795,86.0,52.0,25.25,0.0
1.0,1.2290238083142226,79.0,90.0,6.21,0.0
2.0,1.879587910610496,97.0,106.0,17.32,0.0
1.0,0.6947311691240367,103.0,123.0,4.09,0.0
2.0,0.584333027725196,109.0,101.0,5.64,1.0
2.0,0.581396366871573,89.0,81.0,5.56,0.0
2.0,0.1928199020059835,107.0,117.0,15.39,1.0
2.0,1.115689006061759,100.0,102.0,6.97,0.0
2.0,2.883410444846602,87.0,84.0,18.16,0.0
2.0,0.0014683304268117,89.0,90.0,10.73,0.0
2.0,0.6167143997973283,101.0,86.0,13.35,0.0
2.0,0.6947311691240367,91.0,75.0,7.47,0.0
2.0,0.7756845993043678,105.0,98.0,5.69,1.0
2.0,1.118625666915382,102.0,205.0,26.18,0.0
2.0,0.1766292159699171,131.0,128.0,14.48,0.0
2.0,0.17956587682354,100.0,139.0,10.58,1.0
2.0,0.5166336227273083,112.0,178.0,15.9,1.0
1.0,0.2605193070038712,89.0,107.0,11.61,0.0
2.0,2.1062575151154226,95.0,122.0,24.1,0.0
2.0,0.4709982254727324,93.0,127.0,12.43,0.0
2.0,1.0347355758814278,98.0,109.0,1.67,0.0
2.0,0.2899640182223806,119.0,200.0,17.78,1.0
2.0,1.115689006061759,90.0,142.0,7.01,0.0
1.0,0.0662310745710764,112.0,57.0,6.39,0.0
2.0,0.5357609696169972,89.0,150.0,4.62,1.0
2.0,1.1966424362420902,91.0,90.0,6.75,0.0
2.0,1.4262487016006402,106.0,104.0,25.95,0.0
2.0,0.2090105880420494,100.0,100.0,7.73,1.0
2.0,1.115689006061759,90.0,81.0,7.94,0.0
2.0,1.1510070389875149,106.0,139.0,29.35,0.0
2.0,1.1642610641699578,87.0,97.0,11.25,0.0
2.0,0.0632944137174535,84.0,96.0,8.56,0.0
2.0,1.3747399826388185,88.0,117.0,1.63,0.0
2.0,0.7109218551601031,96.0,86.0,4.47,0.0
2.0,1.115689006061759,99.0,129.0,3.4,1.0
2.0,1.4748207597088396,113.0,204.0,19.12,0.0
2.0,0.8271933182661901,113.0,157.0,10.56,1.0
1.0,0.6814771439415936,94.0,91.0,8.38,0.0
2.0,0.1148031326792753,95.0,111.0,11.74,0.0
1.0,0.3252820511481365,115.0,103.0,9.48,0.0
2.0,0.5652056808355066,92.0,92.0,7.95,0.0
1.0,0.4356801925469771,85.0,92.0,6.14,0.0
2.0,1.911969282682628,102.0,113.0,12.19,0.0
2.0,1.0671169479535605,86.0,87.0,7.45,0.0
2.0,1.0538629227711171,88.0,95.0,6.46,0.0
2.0,1.520456156963415,82.0,65.0,6.0,0.0
